method,seed,vsr_legacy,vsr_current,n_valid_current,fuel_current_mean,gap_rmse_current_mean,jerk_rmse_current_mean,vr_hard_current_mean,shield_rate_valid_mean,shield_rate_all_mean,rate_limit_rate_all_mean,shield_delta_abs_all_mean,config
SAC,62,0.6470588235294118,0.6470588235294118,11,4.659412821450375,34.40547572465033,0.16354008933458397,0.0012987012987012987,0.2948051948051948,0.28790961360620804,0.022689075630252103,0.06569444487640044,eng_high
PPO,62,0.47058823529411764,0.5294117647058824,9,13.75479903346292,16.94525640801616,1.2038565840574507,0.1507936507936508,0.01111111111111111,0.008403361344537815,0.5126050420168067,0.9214706374597149,eng_high
PPO-Lag,62,0.7058823529411765,0.8235294117647058,14,14.158852100942017,16.955986027746267,1.252399619363635,0.1622448979591837,0.008163265306122448,0.009243697478991597,0.5764705882352942,1.1447059059143065,eng_high
ACC,0,1.0,1.0,17,11.664616030181694,16.202852035478163,1.1183261889346459,0.07142857142857142,0.043697478991596636,0.043697478991596636,0.634453781512605,1.0791275071021984,eng_high
MPC,0,0.9411764705882353,1.0,17,14.441196061961406,19.352726136730894,1.3009197008988735,0.10504201680672269,0.07394957983193277,0.07394957983193277,0.6798319327731092,0.678042024420089,eng_high
LQR,0,1.0,1.0,17,13.325525748353323,20.02765579394015,1.398929697152255,0.08739495798319329,0.07142857142857142,0.07142857142857142,0.707563025210084,1.4317565994208343,eng_high
IDM,0,1.0,1.0,17,9.772435217853193,14.67740292520165,0.8545141157796001,0.04201680672268908,0.1176470588235294,0.1176470588235294,0.7058823529411764,0.8918543815844723,eng_high
PA-CSAC,22,0.9411764705882353,1.0,17,7.292927845800917,16.50994750309556,0.549554402646127,0.04201680672268908,0.07563025210084033,0.07563025210084033,0.31512605042016806,0.38859550959734684,keq_low
DDPG,22,0.5882352941176471,0.5882352941176471,10,3.7772223432706675,32.519485104027574,0.19406841938759684,0.002857142857142857,0.23142857142857146,0.29456752397928865,0.03025210084033613,0.06362324144002075,keq_low
TD3,22,0.6470588235294118,0.7058823529411765,12,3.9899727921049064,34.16224347565959,0.21408288176899729,0.007142857142857143,0.14642857142857144,0.16923190328763085,0.031092436974789917,0.06838502068969175,keq_low
SAC,22,0.5294117647058824,0.5294117647058824,9,3.9648546631289787,35.2522568416849,0.18988587031485252,0.0015873015873015873,0.37936507936507935,0.3215686274509804,0.02436974789915966,0.06694594361556234,keq_low
PPO,22,0.6470588235294118,0.7058823529411765,12,14.978196672034462,15.861523378338395,1.269148820072934,0.15952380952380954,0.0047619047619047615,0.0058823529411764705,0.565546218487395,1.1009072924241297,keq_low
PPO-Lag,22,0.7647058823529411,0.8235294117647058,14,13.825803353646709,16.565697188447036,1.2058144628660457,0.15612244897959185,0.00510204081632653,0.005042016806722689,0.5621848739495798,1.016904846465888,keq_low
PA-CSAC,32,0.9411764705882353,0.9411764705882353,16,5.560773018806227,19.887875269729953,0.4153870357565793,0.02589285714285714,0.08571428571428572,0.08235294117647059,0.24537815126050422,0.21420521181065028,keq_low
DDPG,32,0.5882352941176471,0.5882352941176471,10,3.64865940117623,33.0668238240779,0.21322913642136174,0.002857142857142857,0.21428571428571427,0.28096511331805446,0.029411764705882353,0.06821839670768955,keq_low
TD3,32,0.5882352941176471,0.5882352941176471,10,3.6912073135599712,32.53371830768328,0.21301680082320887,0.005714285714285714,0.1414285714285714,0.24696545284780574,0.029411764705882353,0.0675814715096728,keq_low
SAC,32,0.5882352941176471,0.5882352941176471,10,4.006177721554353,34.28897023066113,0.18615062687385214,0.0,0.20857142857142855,0.32907205435365633,0.03025210084033613,0.0741357308964481,keq_low
PPO,32,0.5882352941176471,0.7058823529411765,12,14.68831330872454,16.94741129801853,1.2747039836593443,0.15595238095238095,0.0047619047619047615,0.005042016806722689,0.5638655462184874,1.1303294153814556,keq_low
PPO-Lag,32,0.6470588235294118,0.7647058823529411,13,14.586530591474514,16.333395920706906,1.2482244704885745,0.16373626373626374,0.005494505494505494,0.007563025210084033,0.5680672268907563,1.0763663516345143,keq_low
PA-CSAC,42,0.7058823529411765,0.7058823529411765,12,5.839340537215825,21.822054285698812,0.5664180827338798,0.039285714285714285,0.11785714285714284,0.12352941176470586,0.1596638655462185,0.37517220781275123,keq_low
DDPG,42,0.5882352941176471,0.5882352941176471,10,3.8178970714778564,34.654462545111805,0.20300106700042705,0.002857142857142857,0.18857142857142858,0.30643408878703,0.029411764705882353,0.06834920052200001,keq_low
TD3,42,0.6470588235294118,0.6470588235294118,11,3.5869225415186334,34.24978267849723,0.22053205883595395,0.005194805194805195,0.14805194805194805,0.26695526695526695,0.0319327731092437,0.07321637622865851,keq_low
SAC,42,0.5294117647058824,0.5294117647058824,9,4.190738804520953,36.65824199097221,0.22424784581790302,0.0031746031746031746,0.4174603174603174,0.526750700280112,0.028620143709657774,0.08647542536797731,keq_low
PPO,42,0.6470588235294118,0.7647058823529411,13,13.130699470850262,17.914966889535684,1.1041947888980919,0.13846153846153847,0.006593406593406593,0.008403361344537815,0.473109243697479,0.8474735799619005,keq_low
PPO-Lag,42,0.058823529411764705,0.058823529411764705,1,26.12087169364375,45.33988566170252,0.3916082750703047,0.0,0.04285714285714286,0.03320005421523448,0.14887503388452153,0.14709529128007431,keq_low
PA-CSAC,52,1.0,1.0,17,4.344521221472256,22.250528676216916,0.4040642978569843,0.008403361344537815,0.10336134453781512,0.10336134453781512,0.15294117647058825,0.23586443440245167,keq_low
DDPG,52,0.6470588235294118,0.6470588235294118,11,3.7213425204503223,33.01563457076341,0.19984718909119434,0.003896103896103896,0.2038961038961039,0.1998331247392574,0.028571428571428567,0.061712585074539784,keq_low
TD3,52,0.5882352941176471,0.5882352941176471,10,3.7258464164011054,32.579678056378874,0.24244497650243207,0.002857142857142857,0.10999999999999999,0.16099290780141845,0.03361344537815126,0.07363191588461848,keq_low
SAC,52,0.5882352941176471,0.5882352941176471,10,3.5123545281242814,35.327807589966504,0.2231982304293187,0.0014285714285714286,0.16714285714285715,0.19747899159663862,0.039495798319327736,0.08288924257489343,keq_low
PPO,52,0.7058823529411765,0.7647058823529411,13,13.09756267867914,17.50377851761004,1.0223287880688254,0.12637362637362637,0.0032967032967032967,0.003361344537815126,0.45378151260504207,0.7625626583810614,keq_low
PPO-Lag,52,0.7058823529411765,0.8235294117647058,14,14.59129235794852,16.95653368480253,1.2523975064911783,0.1622448979591837,0.008163265306122448,0.009243697478991597,0.5764705882352942,1.1446981180415434,keq_low
PA-CSAC,62,0.9411764705882353,0.9411764705882353,16,4.359736495586763,25.222733213906725,0.3912539292565417,0.010714285714285714,0.11517857142857141,0.14460245636716226,0.12049127343244989,0.23234995153754542,keq_low
DDPG,62,0.5294117647058824,0.5294117647058824,9,14.767750184515867,14.571998211619388,1.270716351380048,0.14920634920634923,0.19682539682539685,0.3089961860450395,0.4421164021164021,1.5936161642841777,keq_low
TD3,62,0.5882352941176471,0.5882352941176471,10,3.7352951508089864,36.5764847784111,0.18719772695738396,0.002857142857142857,0.19285714285714287,0.3348781937017231,0.029615482556659023,0.0745465199560335,keq_low
SAC,62,0.6470588235294118,0.6470588235294118,11,3.7275302571603004,34.40547572465033,0.16354008933458397,0.0012987012987012987,0.2948051948051948,0.28790961360620804,0.022689075630252103,0.06569444487640044,keq_low
PPO,62,0.47058823529411764,0.5294117647058824,9,13.876027543291325,16.94525640801616,1.2038565840574507,0.1507936507936508,0.01111111111111111,0.008403361344537815,0.5126050420168067,0.9214706374597149,keq_low
PPO-Lag,62,0.7058823529411765,0.8235294117647058,14,14.591306735745137,16.955986027746267,1.252399619363635,0.1622448979591837,0.008163265306122448,0.009243697478991597,0.5764705882352942,1.1447059059143065,keq_low
ACC,0,1.0,1.0,17,12.04761951395902,16.202852035478163,1.1183261889346459,0.07142857142857142,0.043697478991596636,0.043697478991596636,0.634453781512605,1.0791275071021984,keq_low
MPC,0,0.9411764705882353,1.0,17,15.045372918569006,19.352726136730894,1.3009197008988735,0.10504201680672269,0.07394957983193277,0.07394957983193277,0.6798319327731092,0.678042024420089,keq_low
LQR,0,1.0,1.0,17,13.794237716021314,20.02765579394015,1.398929697152255,0.08739495798319329,0.07142857142857142,0.07142857142857142,0.707563025210084,1.4317565994208343,keq_low
IDM,0,1.0,1.0,17,9.253825724439801,14.67740292520165,0.8545141157796001,0.04201680672268908,0.1176470588235294,0.1176470588235294,0.7058823529411764,0.8918543815844723,keq_low
PA-CSAC,22,0.9411764705882353,1.0,17,8.847652869799937,16.50994750309556,0.549554402646127,0.04201680672268908,0.07563025210084033,0.07563025210084033,0.31512605042016806,0.38859550959734684,keq_high
DDPG,22,0.5882352941176471,0.5882352941176471,10,5.6658335149060015,32.519485104027574,0.19406841938759684,0.002857142857142857,0.23142857142857146,0.29456752397928865,0.03025210084033613,0.06362324144002075,keq_high
TD3,22,0.6470588235294118,0.7058823529411765,12,5.984959188157359,34.16224347565959,0.21408288176899729,0.007142857142857143,0.14642857142857144,0.16923190328763085,0.031092436974789917,0.06838502068969175,keq_high
SAC,22,0.5294117647058824,0.5294117647058824,9,5.947281994693467,35.2522568416849,0.18988587031485252,0.0015873015873015873,0.37936507936507935,0.3215686274509804,0.02436974789915966,0.06694594361556234,keq_high
PPO,22,0.6470588235294118,0.7058823529411765,12,17.55415576183445,15.861523378338395,1.269148820072934,0.15952380952380954,0.0047619047619047615,0.0058823529411764705,0.565546218487395,1.1009072924241297,keq_high
PPO-Lag,22,0.7647058823529411,0.8235294117647058,14,15.98282709440392,16.565697188447036,1.2058144628660457,0.15612244897959185,0.00510204081632653,0.005042016806722689,0.5621848739495798,1.016904846465888,keq_high
PA-CSAC,32,0.9411764705882353,0.9411764705882353,16,7.193118969821709,19.887875269729953,0.4153870357565793,0.02589285714285714,0.08571428571428572,0.08235294117647059,0.24537815126050422,0.21420521181065028,keq_high
DDPG,32,0.5882352941176471,0.5882352941176471,10,5.472989101764344,33.0668238240779,0.21322913642136174,0.002857142857142857,0.21428571428571427,0.28096511331805446,0.029411764705882353,0.06821839670768955,keq_high
TD3,32,0.5882352941176471,0.5882352941176471,10,5.536810970339956,32.53371830768328,0.21301680082320887,0.005714285714285714,0.1414285714285714,0.24696545284780574,0.029411764705882353,0.0675814715096728,keq_high
SAC,32,0.5882352941176471,0.5882352941176471,10,6.00926658233153,34.28897023066113,0.18615062687385214,0.0,0.20857142857142855,0.32907205435365633,0.03025210084033613,0.0741357308964481,keq_high
PPO,32,0.5882352941176471,0.7058823529411765,12,17.18284696675924,16.94741129801853,1.2747039836593443,0.15595238095238095,0.0047619047619047615,0.005042016806722689,0.5638655462184874,1.1303294153814556,keq_high
PPO-Lag,32,0.6470588235294118,0.7647058823529411,13,16.99112924366316,16.333395920706906,1.2482244704885745,0.16373626373626374,0.005494505494505494,0.007563025210084033,0.5680672268907563,1.0763663516345143,keq_high
PA-CSAC,42,0.7058823529411765,0.7058823529411765,12,8.502400145484485,21.822054285698812,0.5664180827338798,0.039285714285714285,0.11785714285714284,0.12352941176470586,0.1596638655462185,0.37517220781275123,keq_high
DDPG,42,0.5882352941176471,0.5882352941176471,10,5.726845607216784,34.654462545111805,0.20300106700042705,0.002857142857142857,0.18857142857142858,0.30643408878703,0.029411764705882353,0.06834920052200001,keq_high
TD3,42,0.6470588235294118,0.6470588235294118,11,5.380383812277949,34.24978267849723,0.22053205883595395,0.005194805194805195,0.14805194805194805,0.26695526695526695,0.0319327731092437,0.07321637622865851,keq_high
SAC,42,0.5294117647058824,0.5294117647058824,9,6.286108206781427,36.65824199097221,0.22424784581790302,0.0031746031746031746,0.4174603174603174,0.526750700280112,0.028620143709657774,0.08647542536797731,keq_high
PPO,42,0.6470588235294118,0.7647058823529411,13,15.31816834078494,17.914966889535684,1.1041947888980919,0.13846153846153847,0.006593406593406593,0.008403361344537815,0.473109243697479,0.8474735799619005,keq_high
PPO-Lag,42,0.058823529411764705,0.058823529411764705,1,39.18130754046562,45.33988566170252,0.3916082750703047,0.0,0.04285714285714286,0.03320005421523448,0.14887503388452153,0.14709529128007431,keq_high
PA-CSAC,52,1.0,1.0,17,6.060925389151499,22.250528676216916,0.4040642978569843,0.008403361344537815,0.10336134453781512,0.10336134453781512,0.15294117647058825,0.23586443440245167,keq_high
DDPG,52,0.6470588235294118,0.6470588235294118,11,5.582013780675482,33.01563457076341,0.19984718909119434,0.003896103896103896,0.2038961038961039,0.1998331247392574,0.028571428571428567,0.061712585074539784,keq_high
TD3,52,0.5882352941176471,0.5882352941176471,10,5.588769624601656,32.579678056378874,0.24244497650243207,0.002857142857142857,0.10999999999999999,0.16099290780141845,0.03361344537815126,0.07363191588461848,keq_high
SAC,52,0.5882352941176471,0.5882352941176471,10,5.26853179218642,35.327807589966504,0.2231982304293187,0.0014285714285714286,0.16714285714285715,0.19747899159663862,0.039495798319327736,0.08288924257489343,keq_high
PPO,52,0.7058823529411765,0.7647058823529411,13,15.294193337104057,17.50377851761004,1.0223287880688254,0.12637362637362637,0.0032967032967032967,0.003361344537815126,0.45378151260504207,0.7625626583810614,keq_high
PPO-Lag,52,0.7058823529411765,0.8235294117647058,14,16.990607749231682,16.95653368480253,1.2523975064911783,0.1622448979591837,0.008163265306122448,0.009243697478991597,0.5764705882352942,1.1446981180415434,keq_high
PA-CSAC,62,0.9411764705882353,0.9411764705882353,16,6.337014911281806,25.222733213906725,0.3912539292565417,0.010714285714285714,0.11517857142857141,0.14460245636716226,0.12049127343244989,0.23234995153754542,keq_high
DDPG,62,0.5294117647058824,0.5294117647058824,9,17.590772208120807,14.571998211619388,1.270716351380048,0.14920634920634923,0.19682539682539685,0.3089961860450395,0.4421164021164021,1.5936161642841777,keq_high
TD3,62,0.5882352941176471,0.5882352941176471,10,5.602942726213479,36.5764847784111,0.18719772695738396,0.002857142857142857,0.19285714285714287,0.3348781937017231,0.029615482556659023,0.0745465199560335,keq_high
SAC,62,0.6470588235294118,0.6470588235294118,11,5.591295385740449,34.40547572465033,0.16354008933458397,0.0012987012987012987,0.2948051948051948,0.28790961360620804,0.022689075630252103,0.06569444487640044,keq_high
PPO,62,0.47058823529411764,0.5294117647058824,9,16.505758840155504,16.94525640801616,1.2038565840574507,0.1507936507936508,0.01111111111111111,0.008403361344537815,0.5126050420168067,0.9214706374597149,keq_high
PPO-Lag,62,0.7058823529411765,0.8235294117647058,14,16.990622521130422,16.955986027746267,1.252399619363635,0.1622448979591837,0.008163265306122448,0.009243697478991597,0.5764705882352942,1.1447059059143065,keq_high
ACC,0,1.0,1.0,17,13.997539236218035,16.202852035478163,1.1183261889346459,0.07142857142857142,0.043697478991596636,0.043697478991596636,0.634453781512605,1.0791275071021984,keq_high
MPC,0,0.9411764705882353,1.0,17,17.329435274353692,19.352726136730894,1.3009197008988735,0.10504201680672269,0.07394957983193277,0.07394957983193277,0.6798319327731092,0.678042024420089,keq_high
LQR,0,1.0,1.0,17,15.99063089802399,20.02765579394015,1.398929697152255,0.08739495798319329,0.07142857142857142,0.07142857142857142,0.707563025210084,1.4317565994208343,keq_high
IDM,0,1.0,1.0,17,11.726922261423834,14.67740292520165,0.8545141157796001,0.04201680672268908,0.1176470588235294,0.1176470588235294,0.7058823529411764,0.8918543815844723,keq_high
